"IDRSSD"	RCONK123	RCONK124	RCONK125	RCONK126	RCONK127	RCONK128	RCONK130	RCONK131	RCONK132	RCONK138	RCONK139	RCONK140	RCONK213	RCONK214	RCONK215	RCONK216	RCONK217	RCONK218	RCONK257	RCONK258	RCONK259	RCONK274	RCONK275	RCONK276	RCONK277	RCONK278	RCONK279	RCONK280	RCONK281	RCONK282	RCONL183	RCONL184	RCONL185	RCONL186	RCONL187	RCONL188	
	LN RSTR CMRL IND LN NUS ADR PD 30 - 	LN RSTR CMRL IND LN NUS ADR PD 90	LN RSTR CMRL IND LN NUS ADR NACRL	LN RSTR ALL OTHR LN LEASE PD 30 - 89	LN RSTR ALL OTHR LN LEASE PD 90	LN RSTR ALL OTHR LN LEASE NACRL	ITEMIZE LN FARM PD 30 - 89	ITEMIZE LN FARM PD 90	ITEMIZE LN FARM NACRL	ITEMIZE LN FINANCE AGRI FARM PD 30 -	ITEMIZE LN FINANCE AGRI FARM PD 90	ITEMIZE LN FINANCE AGRI FARM NACRL	AUTO LN TO IND HH FAM PD 30 - 89	AUTO LN TO IND HH FAM PD 90	AUTO LN TO IND HH FAM NONACCRUAL	OTHR LN TO IND HH FAM PD 30 - 89	OTHR LN TO IND HH FAM PD 90	OTHR LN TO IND HH FAM NONACCRUAL	LN RSTR CMRL IND LN PD 30 - 89	LN RSTR CMRL IND LN PD 90	LN RSTR CMRL IND LN NACRL	CREDIT CARD LN HOUSE FAMILY PD 30 - 	CREDIT CARD LN HOUSE FAMILY PD 90	CREDIT CARD LN HOUSE FAMILY NACRL	ITEMIZE AUTO LN HOUSE FAMILY PD 30 -	ITEMIZE AUTO LN HOUSE FAMILY PD 90	ITEMIZE AUTO LN HOUSE FAMILY NACRL	OTHR CNSMR LN HOUSE FAMILY PD 30 - 8	OTHR CNSMR LN HOUSE FAMILY PD 90	OTHR CNSMR LN HOUSE FAMILY NACRL	PURCH CREDIT IMPR LN BAL PD 30 - 89	PURCH CREDIT IMPR LN BAL PD 90	PURCH CREDIT IMPR LN BAL NACRL	PURCH CREDIT IMPR LN CARRY PD 30 - 8	PURCH CREDIT IMPR LN CARRY 90	PURCH CREDIT IMPR LN CARRY NACRL	
79145													0	0	0	0	0	0																			
79257													0	0	0	28	0	2																			
79855													0	0	0	27	8	0													0	0	0	0	0	0	
80150													0	3	1	47	11	7																			
80374													0	0	0	0	0	0																			
80431													7	0	24	30	19	104																			
81175													0	0	0	0	0	0																			
82033													0	0	0	0	0	0																			
82257													0	0	0	0	0	0													0	0	0	0	0	0	
82350													15	0	0	17	0	2																			
82659				0	0	0	0	0	0	0	0	0	9	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
83151													0	0	0	0	0	0																			
83236													0	0	0	0	0	0																			
83375													0	0	0	78	0	0																			
83638							0	0	0																												
83834													0	0	0	3	6	0																			
83852													0	0	0	6	3	0																			
83955													0	0	8	20	0	8													0	0	0	0	0	0	
84046													0	0	0	2	0	0																			
84541													5	0	4	79	32	3																			
84804													0	0	0	1	0	0																			
85052													0	0	0	0	0	0																			
85472	0	0	0	0	0	323	0	0	0	0	0	0	0	0	0	1009	0	1673	0	0	207	0	0	0	0	0	0	0	0	0							
85931													0	0	0	0	0	0																			
86349													60	0	55	209	0	94																			
86675													0	0	0	0	0	0																			
87047													0	0	0	0	0	0																			
87159													2	0	0	0	0	0																			
87234													0	0	0	3	0	0																			
87476													0	0	0	0	0	16																			
87579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
88231													10	0	27	244	0	14																			
88259													0	0	0	0	0	0																			
88352				0	0	0	0	0	0	0	0	0	13	10	0	8	18	0	0	0	0	0	0	0	0	0	0	0	0	0							
88455													57	0	0	0	0	0																			
88950													0	0	0	0	0	0																			
89032													0	0	5	1	0	2																			
89135													0	0	5	3	0	4																			
89854													0	0	0	0	0	0																			
89957													0	0	0	21	0	0																			
90047													0	0	0	0	0	12													0	0	0	0	0	0	
90177													0	0	0	0	0	0																			
90328													0	0	0	3	0	0																			
90337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	27	0	0	1243	0	0	0	0	0	0	0	0	0							
90579													0	0	0	0	0	0																			
91615													7	2	17	0	0	0																			
91754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	32	0	0	0	0	0	0	0	0	0							
91950													2	0	58	0	0	0																			
92144													0	0	0	6	0	0																			
92676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0							
92706													0	0	0	16	7	0																			
92902													13	0	0	69	0	15																			
93244													0	0	0	1	0	1																			
93543													13	0	28	0	0	0																			
93619							0	0	0																												
94139													115	0	410	94	0	80																			
94522													48	11	0	66	0	0																			
94755													29	0	18	13	0	0																			
94858													25	14	51	0	0	0																			
