"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDJF76	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONJF76	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL58	RCONLL59	RCONLL60	RCONLL61	RCONMM07	RCONMQ52	RCONN523	RCONN524	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
108072																																		132	0	507	132	0	5902		0	0	0	0	0	315	0	0			0	507	3000	2000	0	0	0	395	0	0	0	395						0																					2	395	395	912	0	0	395	0																					www.buffalofed.bank	
108269																																		0	0	0	0	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																					WWW.FNBTX.BANK	
108652																																		399	0	0	399	0	0		0	0	0	0	0	85	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					2	13	0	0	0	0	0	0																						
108746																																		0	0	0	0	0	0		0	0	0	0	0	4988	2	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																					onlinebanking.masoncitynationalbank.com	
108951																																		363	35	0	363	0	15000		0	0	0	0	35	2448	1	0			0	0	0	15000	0	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																						
109136																																		0	688	0	0	0	0		688	0	0	0	0	21721	4	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					1	69	0	0	0	0	0	0																						
109154																																		0	0	4500	0	0	4500		0	0	0	0	0	280	0	0			0	4500	0	0	0	0	0	0	0	0	0	0						0																					1	13	0	0	0	0	0	0																					WWW.fsbbyron.com	
109453																																		2224	28	6000	2163	0	6000		0	0	28	0	0	2498	1	0			0	6000	0	0	0	0	0	0	0	0	0	0						61																					0	0	0	0	0	0	0	0																					https://www.ebankstar.bank	
109574																																		218	0	6500	218	0	7119		0	0	0	0	0	1384	1	0			0	6500	0	0	619	0	0	0	0	0	0	0					18216	0																					13	662	0	0	0	0	0	0																						
109659																																		138	1855	0	138	0	0		82	0	1698	0	75	6750	4	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					1	21	0	0	0	0	0	0																						
