"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
931944			1010	0	0	0	1011	1	0																						
932633			729	9	0	0	722	2	0																						
932642			462	10	2	0	453	3	0																						
932745			3404	0	14	0	3399	9	0																						
932978			71128	1473	241	0	69725	311	0				0																		
933023			14710	600	274	0	13944	108	0																						
933041			15322	0	23	0	15300	1	0				0																		
933256			31713	0	186	0	31572	45	0			0	0																		
933340			4224	120	20	0	4096	12	0																						
933377			11169	4	7	0	11171	13	0				0																		
933621			29061	-2638	59	0	31709	69	0				0																		
933966		0	76119	2500	11	0	65019	16	8605			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
933975			18958	100	1	0	18986	129	0																						
934271			701	15	0	0	686	0	0				7																		
934329	0		18000	-1000	0	0	19000	0	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
934673			2446	40	0	0	2406	0	0																						
935250			7482	30	139	0	7432	119	0																						
935308			1767	0	8	0	1779	20	0			0	0																		
935559			1757	71	7	0	1685	6	0																						
935577			922	30	0	0	893	1	0																						
935719			2052	0	19	0	2073	40	0																						
936136		5694	44308	320	221	0	44281	514	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	-320	0	0	
936426		0	99915	-698	3019	0	98576	982	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	
936462			136335	6811	2986	0	135834	9296	0				0																		
936583			5617	-119	83	0	5816	163	0																						
936640			2773	30	0	0	2743	0	0																						
936837			1633	60	3	0	1572	2	0																						
936855	0		179288	-7105	1479	0	194771	9857	0					1940	0	105	0	0	2045	0	0	0	0	0	0	0	0	0	500	0	
937339			2165	0	546	0	1619	0	0				0																		
937553			944	0	14	0	965	35	0																						
937740			5425	150	15	0	5337	77	0																						
937759			663	15	0	0	648	0	0																						
937834			541	0	6	0	539	4	0																						
937843		0	563	0	1	0	563	1	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
938354			458	0	1	0	458	0	-1																						
938550			820	2	3	0	818	3	0																						
938859			8361	0	14	0	8376	29	0																						
939070			1786	30	3	0	1753	0	0																						
939249			12685	400	42	0	12251	8	0			0	0																		
940021			660	0	0	0	660	0	0				0																		
940311	0		576000	-13000	18000	0	594000	24000	1000	2000	0	0		8000	0	0	0	0	8000	0	0	0	0	0	0	0	0	0	-1000	0	
940674			1487	-300	1759	0	1813	1785	0																						
940731			1937	60	11	0	1920	54	0																						
940852			343	0	0	0	343	0	0				0																		
941541			696	0	0	0	696	0	0																						
941804			1475	1	0	0	1475	1	0																						
942454			1065	0	14	0	1054	3	0																						
942539			1825	49	20	0	1810	54	0																						
942847			1808	135	17	0	1743	87	0																						
943143			536	0	0	0	536	0	0																						
943152			183	0	0	0	183	0	0																						
943273			785	3	0	0	782	0	0																						
943675			5672	34	3	0	5636	1	0																						
943853			740	0	91	0	649	0	0																						
943974			1836	0	0	0	1836	0	0																						
