"IDRSSD"	RCON9224	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	ID_LEI	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
293352		20220630	Adrian State Bank	8822	Adrian	MN	56110	
293437		20220630	The Citizens Bank of Winfield	52	Winfield	AL	355940550	
293651		20220630	Campbell County Bank	16161	Herreid	SD	57632	
293754		20220630	State Bank Of Southwest Missouri	26358	Springfield	MO	65804	
294023	54930065TMWOWFAXBL88	20220630	First State Bank	9437	Winchester	OH	45697	
294564	549300JS5JD63G4G8809	20220630	First Bank & Trust	14778	Lubbock	TX	79424	
294751	549300RYQVJMZ3X21K04	20220630	The City National Bank And Trust Company Of Lawton, Oklahoma	4132	Lawton	OK	73501	
294779		20220630	TIMBERLAND BANK	28453	HOQUIAM	WA	98550	
294827		20220630	Pioneer Community Bank, Inc.	2448	Iaeger	WV	24844	
295011	254900KE1KGYIP021V52	20220630	Greenville National Bank	13703	Greenville	OH	45331	
295057		20220630	SECURITY BANK MINNESOTA	10984	ALBERT LEA	MN	56007	
295646		20220630	Farmers State Bank Of Medora	13902	Medora	IL	62063	
296456		20220630	Firstbank	14331	Antlers	OK	74523	
296474		20220630	The Home Savings And Loan Company Of Kenton	29571	Kenton	OH	43326	
296559		20220630	Commercial Bank	11777	Parsons	KS	67357	
296755		20220630	Citizens State Bank	15519	Miles	TX	76861	
296858		20220630	First National Bank of Lindsay	4134	Lindsay	OK	730520278	
297051		20220630	Patriots Bank	18019	Garnett	KS	66032	
297631	549300I2VXVEZZG4TK86	20220630	Crews Bank & Trust	21163	Arcadia	FL	34265	
297761		20220630	Monterey County Bank	22460	Monterey	CA	93940	
298049		20220630	IOWA STATE BANK	10497	SAC CITY	IA	50583	
298218		20220630	Watertown Savings Bank	15990	Watertown	NY	13601	
298245		20220630	The City National Bank Of Metropolis	3814	Metropolis	IL	62960	
299868		20220630	Community Commerce Bank	26363	Claremont	CA	91711	
300009		20220630	Passumpsic Savings Bank	14134	Saint Johnsbury	VT	05819	
300063		20220630	NEW OMNI BANK, N.A.	23086	ALHAMBRA	CA	91801	
300157		20220630	Valley Exchange Bank	9947	Lennox	SD	57039	
300353		20220630	Shamrock Bank, National Association	4236	Coalgate	OK	74538	
300456		20220630	Piqua State Bank	18089	Piqua	KS	66761	
300933	254900GZAWIVGN884M22	20220630	Planters First Bank	9064	Cordele	GA	31015	
300942		20220630	Pioneer Bank	19540	Sergeant Bluff	IA	51054	
300960	549300SE6YAYK0PZZR74	20220630	Bank Of Idaho	26403	Idaho Falls	ID	83403	
301574	549300FEBB5EMDXTC518	20220630	Lake Shore Savings Bank	30530	Dunkirk	NY	14048	
301800		20220630	Ulster Savings Bank	15970	Kingston	NY	12401	
302030		20220630	Bank of Belle Glade	18930	Belle Glade	FL	33430	
302133		20220630	Camp Grove State Bank	10471	Camp Grove	IL	61424	
302553		20220630	Plains State Bank	18118	Plains	KS	67869	
302656	549300WYC8C6REMY4E38	20220630	MINNWEST BANK	16958	REDWOOD FALLS	MN	56283	
303653		20220630	FIRST STATE BANK OF BURNET	11557	BURNET	TX	78611	
303701		20220630	Wells River Savings Bank	14136	Wells River	VT	05081	
303747	5493005MOGCDHVVGS531	20220630	The First Bank And Trust Company Of Murphysboro	3818	Murphysboro	IL	62966	
303952		20220630	Farmers Bank Of Northern Missouri	4539	Unionville	MO	63565	
304173		20220630	Marquette Savings Bank	30544	Erie	PA	16501	
304520		20220630	Chesapeake Bank & Trust Company	26847	Chestertown	MD	21620	
304575		20220630	Sidney Federal Savings And Loan Association	29379	Sidney	NE	69162	
304762		20220630	Security State Bank, The	18677	Winters	TX	79567	
304913	529900KRQNFT92BXR447	20220630	Deutsche Bank Trust Company Delaware	26392	Wilmington	DE	19805	
305059		20220630	First State Bank, The	11175	Abernathy	TX	79311	
305077		20220630	Peru Federal Savings Bank	29384	Peru	IL	61354	
305237		20220630	THE GEO. D. WARTHEN BANK	2154	SANDERSVILLE	GA	31082	
305442	549300Q16CNQMW0O1O02	20220630	THE NEW WASHINGTON STATE BANK	13305	NEW WASHINGTON	IN	471620010	
306056		20220630	First National Bank Of Fleming, The	3018	Fleming	CO	80728	
306140	254900EFHB71KQ6R4L75	20220630	Security State Bank	15738	Springville	IA	52336	
306159	549300IJ5M3CD2DPIX47	20220630	American National Bank Of Minnesota	26499	Baxter	MN	56425	
306337		20220630	Casey State Bank	3614	Casey	IL	62420	
306908	549300Q1QXZDN5R0UD44	20220630	Jeff Bank	7123	Jeffersonville	NY	12748	
307062		20220630	Farmers Bank	2850	Buhl	ID	83316	
307334		20220630	Southern Bank	16288	Sardis	GA	30830	
307361	2549006VBLRP288VX853	20220630	AMERICAN BANK, NATIONAL ASSOCIATION	23886	WACO	TX	76702	
307679		20220630	Bank Of The Pacific	23041	Aberdeen	WA	98520	
307932		20220630	Catlin Bank	3615	Catlin	IL	61817	
308256		20220630	CenBank	8848	Buffalo Lake	MN	55314	
308340		20220630	The Bath State Bank	8035	Bath	IN	47010	
308836		20220630	Bank of Bourbonnais	21635	Bourbonnais	IL	609142513	
309150	549300FS4TWJ50ESLB05	20220630	The Missouri Bank	14036	Warrenton	MO	63383	
309655		20220630	Regent Bank	4160	Tulsa	OK	74136	
309851		20220630	Root River State Bank	1098	Chatfield	MN	55923	
310754	549300RFLICNI75BG067	20220630	American Equity Bank	16635	Minnetonka	MN	55343	
310950		20220630	First National Bank In Okeene	4161	Okeene	OK	73763	
310978	549300GDJSUYPH6UC416	20220630	WaterStone Bank	28513	Wauwatosa	WI	53226	
311050		20220630	American Heritage Bank	4190	SAPULPA	OK	74067	
311144		20220630	Bank of Bearden	16282	Bearden	AR	71720	
311256		20220630	Granite Bank	5116	Cold Spring	MN	56320	
311265		20220630	The Yoakum National Bank	5595	Yoakum	TX	77995	
311603	254900QY5ST0J7P6M123	20220630	Dime Bank	18200	Norwich	CT	6360	
311658		20220630	The First National Bank of Coleraine	5117	Coleraine	MN	55722	
311845	XOINQMNIM6RBU631DD85	20220630	ARVEST BANK	8728	FAYETTEVILLE	AR	72701	
311939	549300KNRT5UGNCSXM31	20220630	Washington State Bank	9326	Washington	LA	70589	
312244	549300H3YPB6EJ1RV917	20220630	First Bank Of Berne	9288	Berne	IN	46711	
312356		20220630	The Cornerstone Bank	9388	South West City	MO	64863	
313009		20220630	The Upstate National Bank	13748	Rochester	NY	14614	
313157		20220630	Seiling State Bank, The	4193	Seiling	OK	73663	
313223		20220630	OSGOOD BANK	9137	OSGOOD,	OH	453510069	
313577		20220630	Forward Bank	28530	Marshfield	WI	54449	
314257	549300ZBB5XXXOWVNS92	20220630	Deerwood Bank	05123	Waite Park	MN	56387	
314444		20220630	Fbt Bank & Mortgage	1028	Fordyce	AR	71742	
315656	549300GQHFVUMVZA1777	20220630	First Enterprise Bank	4049	Oklahoma City	OK	73114	
316840	X6T32LKEPUT8LQMW6755	20220630	Republic Bank & Trust Company	23627	Louisville	KY	402022700	
316859		20220630	Exchange Bank, The	10672	Skiatook	OK	74070	
316934		20220630	Buckley State Bank	12121	Buckley	IL	60918	
317258		20220630	West Plains Bank And Trust Company	15489	West Plains	MO	65775	
317342	4LJGQ9KJ9S0CP4B1FY29	20220630	Stock Yards Bank & Trust Co.	258	Louisville	KY	40206	
317379	254900IL7D0ACZ6YVF12	20220630	Home Federal Savings And Loan Association Of Grand Island	29476	Grand Island	NE	68801	
317650		20220630	CITIZENS STATE BANK	16934	GANADO	TX	77962	
318639		20220630	Bank of Chestnut	10885	Chestnut	IL	62518	
318974	549300DPWFIO1S3DF358	20220630	First Federal Savings and Loan Association	29488	Lakewood	OH	44107	
319047	2549005LG69OCBT9WE71	20220630	Riddell National Bank, The	4318	Brazil	IN	47834	
319458		20220630	The First National Bank	4199	Stigler	OK	74462	
319551		20220630	Security State Bank	18374	Scott City	KS	67871	
320034		20220630	PEOPLES BANK OF GREENSBORO	1730	GREENSBORO	AL	36744	
320052	549300E76OWAX7HQJX42	20220630	Legacy Bank	4042	Hinton	OK	73047	
320070	549300KL7MLR63WYCF68	20220630	Valley Central Bank	28555	Liberty Township	OH	45011	
320119		20220630	Israel Discount Bank Of New York	19977	New York	NY	10017	
321152	5493000M1X0MV8KPL945	20220630	Lineage Bank	6100	Franklin	TN	37064	
321255		20220630	FIRST AMERICAN BANK	15762	STONEWALL	OK	74871	
321273		20220630	Affinity Bank	29510	Covington	GA	30014	
321330		20220630	Farmers And Merchants State Bank Of Bushnell	11324	Bushnell	IL	61422	
321947		20220630	FCN Bank N.A.	4319	Brookville	IN	47012	
322449		20220630	COMMUNITY STATE BANK	8067	BROOK	IN	47922	
322476		20220630	Wabash Savings Bank	30618	Mount Carmel	IL	62863	
322551		20220630	First Security Bank	1622	Union Star	MO	64494	
323204		20220630	Lyons National Bank, The	7151	Lyons	NY	14489	
323651		20220630	Gilmer National Bank	3219	Gilmer	TX	75644	
324153		20220630	First National Bank Of Giddings	3217	Giddings	TX	78942	
324229		20220630	Waterford Commercial And Savings Bank, The	8397	Waterford	OH	45786	
324256		20220630	Oklahoma State Bank	13416	Buffalo	OK	73834	
324340		20220630	Choiceone Bank	1014	Sparta	MI	49345	
324854		20220630	Bank Of Crockett	1468	Bells	TN	38006	
324863	549300ZYK1Z0EK2JC967	20220630	THE BANK OF COMMERCE	18059	AMMON	ID	83406	
324975		20220630	Dewitt Savings Bank	29535	Clinton	IL	61727	
325141	5493003L2LYA333BZY52	20220630	Farmers Bank	1296	Greenwood	AR	72936	
325459		20220630	First State Bank In Temple	5999	Temple	OK	73568	
325534		20220630	BYRON BANK	902	BYRON	IL	610100901	
326054	549300LK4WOVIJ8FAK87	20220630	Silver Lake Bank	15323	Topeka	KS	66608	
326344	5493006IBJS6XC0DFJ29	20220630	Peoples State Bank of Newton	11722	Newton	IL	62448	
326858	Q107R4XFOZ6F6K73C488	20220630	The First National Bank In Sioux Falls	4016	Sioux Falls	SD	57104	
326979	549300V6HTJCSW4YN309	20220630	Greenfield Co-Operative Bank	26397	Greenfield	MA	01301	
327220		20220630	Farmers State Bank	8647	West Salem	OH	44287	
327305		20220630	Katahdin Trust Company	12874	Patten	ME	04765	
327435		20220630	United Southern Bank	15465	Umatilla	FL	32784	
327556		20220630	ANCHOR D BANK	4208	Texhoma	OK	73949	
327855	549300QQT0E10LWS3326	20220630	CIERA BANK	3226	Graham	TX	76450	
328058		20220630	FIRST BANK OF THOMAS	4209	THOMAS	OK	73669	
328357		20220630	Titan Bank, N.A.	3225	Mineral Wells	TX	76067	
328656		20220630	United Farmers State Bank	8821	Adams	MN	55909	
328777	549300L3C3LKXG2XBS96	20220630	Penn Community Bank	30401	Doylestown	PA	18902	
329149		20220630	Bank Plus	16547	Estherville	IA	51334	
329345		20220630	Generations Bank	88	Rogers	AR	72758	
329550		20220630	INSOUTH BANK	22020	BROWNSVILLE	TN	38012	
329952		20220630	First National Bank of Granbury	3228	Granbury	TX	76048	
330239		20220630	FIRST NATIONAL BANK	22271	HAMILTON	AL	35570	
330248		20220630	FIRST NATIONAL BANK OF NOKOMIS	15763	NOKOMIS	IL	62075	
330855	549300JE6M4A1G4LPS75	20220630	The Bank Of Missouri	1617	Perryville	MO	63775	
330873	549300YEQNQT8LV5N068	20220630	Wakefield Co-operative Bank	26516	Wakefield	MA	18805013	
330949	5493007ZN3JNCBPMI730	20220630	Morgantown Bank & Trust Company, Incorporated	275	Morgantown	KY	42261	
331076		20220630	First Federal Bank Of Wisconsin	30422	Waukesha	WI	53186	
331375		20220630	BankGloucester	26536	Gloucester	MA	1930	
331544		20220630	Richland County Bank	15092	Richland Center	WI	53581	
331713	549300COV0JSM0J8GP39	20220630	New Tripoli Bank	7659	NEW TRIPOLI	PA	18066	
332224		20220630	Mechanics & Farmers Bank	12266	Durham	NC	27701	
332345		20220630	Oakdale State Bank	11300	Oakdale	IL	62268	
332402	549300UCNB01VMT4GV61	20220630	ENVISION BANK	90270	RANDOLPH	MA	02368	
332671		20220630	Morganton Savings Bank, S.S.B.	30434	Morganton	NC	28655	
332756		20220630	ADAMS STATE BANK	9812	ADAMS	NE	68301	
333034		20220630	State Bank of Cochran	872	Cochran	GA	31014	
333203	549300I3PFIO81O8JD40	20220630	UNION BANK	14158	MORRISVILLE	VT	56610667	
333650		20220630	The Bank	26522	Oberlin	KS	67749	
333856		20220630	Grandview Bank	3230	Grandview	TX	76050	
333940		20220630	The First National Bank of Okawville	3826	Okawville	IL	62271	
334264		20220630	FIRST COMMUNITY BANK	22964	SAN BENITO	TX	78586	
335346		20220630	Partners Bank	15729	Helena	AR	72342	
