"IDRSSD"	RIADA491	RIADB904	RIADB905	RIADB906	RIADB907	RIADB909	RIADB910	RIADB911	RIADB912	RIADB947	RIADB948	RIADB949	RIADB950	RIADB951	RIADB952	RIADB953	RIADB954	RIADB955	RIADB956	RIADB957	RIADB958	RIADB959	RIADB960	RIADB961	RIADC058	RIADJ315	RIADJ316	
	NET TRUST INCOME (LOSS)	PERSONAL TRUST AND AGENCY ACCOUNTS	EMPLOYEE BENEFIT-DEFINED CONTRIBUTN	EMPLOYEE BENEFIT-DEFINED BENEFIT	OTHER RETIREMENT ACCOUNTS	CUSTODY AND SAFEKEEPING ACCOUNTS	OTH FIDUCIARY/RELATED SERVICES INCME	PLUS:INTRACMPNY INCM CRDTS FOR FIDUC	FIDUCIARY/RELTD SRVCS INCM-FRGN OFFS	PRSNL TRST/AGCY ACCTS-GROSS LOSS,ETC	PRSNL TRST/AGCY ACCTS-GROSS LOSS NON	PERSONAL TRUST/AGCY ACCTS-RECOVERIES	RETIREMT RLTD TRST,ETC-GROSS LOSS MN	RETIREMT RLTD TRST,ETC-GROSS LOS NON	RETIREMT RELATED TRST,ETC-RECOVERIES	INVMT MNGEMT AGCY ACCTS-GROS LOS MNG	INVMT MNGEMT AGCY ACCTS-GROS LOS NON	INVTMT MNGEMT AGCY ACCTS-RECOVERIES	OTH FIDU ACCTS/RLTD SVCS-GROS LOS MN	OTH FID ACCTS/RLTD SVCS-GROS LOS NON	OTH FIDU ACCTS/RLTD SVCS-RECOVERIES	TOT FIDU SETTLEMTS,ETC-GROS LOSS MN	TOT FIDU SETTLEMTS,ETC-GROS LOSS NON	TOT FIDU SETTLEMENTS,ETC-RECOVERIES	LESS: EXPENSES	FID REL SRVC INC INV MGMT ADVIS AGY 	FID REL SRVC INC FOUND ENDW TR AGY A	
217059																												
218131																												
218261																												
218850																												
218878																												
219044																												
219651																												
219679																												
220059		169	299	0	70	0	3																			172	124	
220527																												
220844																												
220974																												
221775																												
222156																												
222446																												
222558																												
222754																												
223322																												
223452																												
223751																												
223845																												
224954																												
225054																												
225157																												
225559																												
225942																												
226949																												
227151																												
227357																												
227656																												
227777																												
228000																												
228158																												
228279																												
228345																												
229070																												
229173																												
229342																												
229454																												
229801		505	0	0	30	72	87																			425	0	
229913		3	0	0	0	18567	2608		0																	0	0	
230423																												
230610																												
230759																												
231279																												
232847																												
232856																												
233031		85000	2000	2000	16000	3000	6000		0																	6000	8000	
233246																												
233358																												
233442																												
233527																												
233554																												
234355		792	60	0	346	151	67																			425	78	
234506																												
234739																												
234841																												
235174																												
235231																												
235316																												
235446																												
235530																												
235558																												
235950																												
236153		1661	1134	2	224	26	0																			890	220	
236256																												
236603																												
236706		5308	52	4	1222	372	1898																			19394	27	
236957																												
237066																												
237619																												
237954																												
238139																												
238250																												
238737																												
239556		398	74	0	384	17	14																			742	73	
239613																												
239659																												
240954																												
241009																												
241157																												
241559																												
241607																												
242257																												
242444																												
242949																												
242958																												
242976																												
243375																												
243414																												
243955																												
244037																												
244149																												
244158																												
244251		949	88	0	37	163	0																			171	48	
245016																												
245276		110	2051	207	1331	0	162																			1574	0	
245351																												
245557		311	4	0	245	29	77																			381	0	
246022																												
246134																												
246451																												
246657		216	69	0	33	861	38																			639	0	
246947																												
246956																												
247140																												
247355																												
247476																												
247551																												
247908																												
248240																												
248352																												
248455		577	96	0	113	223	0																			204	29	
248633																												
248745																												
249416																												
249612																												
249658																												
250430																												
250476																												
250850																												
251352																												
251558																												
251745																												
251978																												
252041		257	407	14	903	1	0																			730	11	
252452																												
252658																												
253356		2177	60	0	28	985	0																			697	1142	
