"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
987848																																							2036	3562	65268	0	440	1942	800	6270	172023	161418	865	162283	0	1210	0	0	9740	100	172023	0	0	13460	0	0	2250	0	27465	133953			0	78319	77109	-6070	12775	0	0	0	9740	0	1821	
988144																																							12398	3560	186630	0	175	861	0	3000	346331	329383	257	329640	0	652	0	0	16691	1500	346331	0	0	32211	0	0	3500	0	56725	272658			0	138093	137441	-20520	2227	0	0	0	16691	39	0	
988153																																							5749	9712	194776	0	34	5898	0	6513	604681	554865	577	555442	0	9128	0	0	49239	338	604681	0	0	62956	0	0	2338	314	171028	383836			0	390766	381638	-16393	0	0	0	0	49239	47	0	
988256																																							17607	419	5206	0	0	64	0	112	34580	27904	34	27938	0	252	0	0	6642	39	34580	0	0	6657	0	0	150	0	7168	20736			0	11424	11172	-204	0	0	0	0	6642	0	0	
988452																																							4188	5255	110180	0	0	2057	0	11221	278017	233972	2197	268911	0	1472	4852	0	9106	1400	278017	0	0	21166	0	0	2740	0	65860	168112			0	139533	138061	-16200	7055	0	0	27890	9106	0	0	
989141																																							113	1824	75949	0	0	1000	0	2789	153480	137989	263	141932	0	1341	3680	0	11548	200	153480	0	0	13327	0	0	2800	0	30014	107975			0	73146	71805	-4779	0	0	0	0	11548	0	0	
989347																																							38849	7288	510	0	4076	7850	640	6599	377257	334318	774	335587	0	5811	495	0	41670	100	377257	0	0	36683	0	0	4900	0	85786	248532			0	305054	299243	-13	0	0	0	0	41670	77	12125	
989534																																							37512	4910	0	0	0	1039	0	585	130530	111909	1010	112919	0	1282	0	0	17611	300	130530	0	0	10733	0	0	6575	0	26794	85115			0	73080	71798	3	0	0	0	0	17611	0	14686	
989730																																							11995	6293	48601	0	598	10381	117	8222	305781	267702	1196	277898	202	2120	9000	0	27681	16635	305781	0	0	11744	0	0	0	0	66556	201146			0	221635	219515	-698	0	0	0	0	27883	0	59	
989758																																							35033	1324	33991	0	0	715	0	2255	142261	128437	78	128515	0	1075	0	0	13746	426	142261	0	0	10182	0	0	4015	0	25021	103416			0	68018	66943	-877	2000	0	0	0	13746	0	0	
