"IDRSSD"	RCONG353	RCONG354	RCONG355	RCONG356	RCONG357	RCONG358	RCONG359	RCONG360	RCONG361	RCONG362	RCONG363	RCONG364	RCONG365	RCONG366	RCONG367	RCONG368	RCONG369	RCONG370	RCONG371	RCONG372	RCONG373	RCONG374	RCONG375	RCONHT50	RCONHT51	RCONHT52	RCONHT53	RCONHT54	RCONHT55	RCONHT56	RCONHT57	RCONHT58	RCONHT59	RCONHT60	RCONHT61	RCONK142	RCONK143	RCONK144	RCONK145	RCONK146	RCONK147	RCONK148	RCONK149	RCONK150	RCONK151	RCONK152	RCONK153	RCONK154	RCONK155	RCONK156	RCONK157	RCONMG95	
	SFP TPS ISS RE INV TRS HTM FV	SFP TPS ISS RE INV TR AFS AMRTZ COST	SFP TPS ISS RE INV TR AFS FV	SFP CORP & SIMILAR LN HTM AMRTZ COST	SFP CORP & SIMILAR LN HTM FV	SFP CORP & SIMILAR LN AFS AMRTZ COST	SFP CORP & SIMILAR LN AFS FV	SFP 1T4 RES MBS I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS I OR G GSE HTM FV	SFP 1T4 RES MBS I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS I OR G GSE AFS FV	SFP 1T4 MBS N I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS N I OR G GSE HTM FV	SFP 1T4 MBS N I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS N I OR G GSE AFS FV	SFP DVRS (MIXED) POOLS SFP HTM AMRTZ	SFP DVRS (MIXED) POOLS SFP HTM FV	SFP DVRS (MIXED) POOLS SFP AFS AMRTZ	SFP DVRS (MIXED) POOLS SFP AFS FV	SFP OTHR CLTRL REF ASSET HTM AMRTZ	SFP OTHR CLTRL REF ASSET HTM FV	SFP OTHR CLTRL REF ASSET AFS AMRTZ	SFP OTHR CLTRL REF ASSET AFS FV	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ	MBS CMRL PT SCTY GUAR FNMA HTM FV	MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ	MBS CMRL PT SCTY GUAR FNMA AFS FV	MBS CMRL PT SCTY OTHR HTM AMTRZ	MBS CMRL PT SCTY OTHR HTM FV	MBS CMRL PT SCTY OTHR AFS AMTRZ	MBS CMRL PT SCTY OTHR AFS FV	MBS CMRL OTHR CMRL GUAR FNMA HTM AMT	MBS CMRL OTHR CMRL GUAR FNMA HTM FV	MBS CMRL OTHR CMRL GUAR FNMA AFS AMT	MBS CMRL OTHR CMRL GUAR FNMA AFS FV	MBS CMRL OTHR CMRL OTHR CMRL HTM AMT	MBS CMRL OTHR CMRL OTHR CMRL HTM FV	MBS CMRL OTHR CMRL OTHR CMRL AFS AMT	MBS CMRL OTHR CMRL OTHR CMRL AFS FV	Amortized cost of available-for-sale	
211338																								0	0	0	0	0	0	1	1	0	0	0	0	0	0	5896	5597	0	0	0	0	0	0	3199	2993	0	0	0	0		
211851																								0	0	1496	1476	0	0	3294	3140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
212018																								0	0	47116	44038					0	0	0	0	0	0	6680	6591	0	0	0	0	0	0	3093	3037	0	0	0	0		
212335																								0	0	24883	24072					0	0	0	0	0	0	5312	4934	0	0	0	0	0	0	9499	9003	0	0	0	0		
212344																								0	0	7712	6752	0	0	14731	12929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
212465																																																					
212522																								0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
212577																								0	0	19119	18584					0	0	0	0	0	0	2741	2679	0	0	0	0	0	0	27297	26560	0	0	0	0		
213471																								9754	9505	0	0	1777	1932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
213538																								0	0	10633	9805	0	0	5998	5539	0	0	0	0	0	0	957	949	0	0	0	0	0	0	0	0	0	0	0	0		
213912																								0	0	28000	25378					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
213958																								0	0	5787	5190					0	0	0	0	0	0	2648	2341	0	0	0	0	0	0	0	0	0	0	0	0		
214106																								0	0	13066	11319					0	0	0	0	171921	158028	99353	83709	0	0	0	0	0	0	0	0	0	0	0	0		
214414																								0	0	155489	141512					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
214722																								0	0	2551	2558					0	0	0	0	0	0	0	0	0	0	0	0	0	0	9931	9597	0	0	26949	25764		
214807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
214843																								0	0	64176	58263	0	0	39049	35661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
215345																								0	0	35429	33001	0	0	52462	47826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
215354																								0	0	5529	5218	0	0	850	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
215653																								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
215662																								0	0	40513	39123					0	0	0	0	0	0	12843	11721	0	0	0	0	0	0	10158	8957	0	0	0	0		
215710																								0	0	46859	41847	0	0	141020	123259	0	0	0	0	0	0	5049	4228	0	0	0	0	0	0	57558	50223	0	0	0	0		
216164																								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6010	5762	0	0	0	0		
216230																								0	0	709	683	90	90	2844	2690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
216922																								0	0	92015	80217					0	0	0	0	0	0	619258	538172	0	0	0	0	0	0	353564	309049	0	0	0	0		
217059																								0	0	166447	154880					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
218131																								0	0	8455	7863	0	0	36192	34095	0	0	0	0	0	0	4262	4173	0	0	0	0	0	0	28499	25464	0	0	0	0		
218261																								0	0	6498	6205	0	0	3710	3320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
218850																								0	0	2130	1910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
218878																								0	0	1000	824					0	0	0	0	0	0	294	277	0	0	0	0	0	0	0	0	0	0	0	0		
219044																								0	0	493	480	0	0	4083	3639	0	0	0	0	0	0	831	771	0	0	0	0	0	0	0	0	0	0	0	0		
219651																								0	0	21288	20297	0	0	42541	39364	0	0	0	0	0	0	18378	17029	0	0	0	0	0	0	6732	6346	0	0	0	0		
219679																								0	0	3461	3251	0	0	2157	1861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
220059																								0	0	42289	37455	0	0	74767	65414	0	0	0	0	0	0	4911	4825	0	0	0	0	0	0	7384	7287	0	0	0	0		
220527																								0	0	13192	12693					0	0	0	0	0	0	0	0	0	0	0	0	0	0	39707	35284	0	0	9197	8844		
220844																								0	0	1900	1819	0	0	2381	2031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
220974																								18643	16398	9884	9240	24376	21601	55635	51866	0	0	0	0	3357	2955	6544	6458	0	0	0	0	3415	3124	2383	2290	0	0	501	500		
221775																								0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
222156																								0	0	20912	18707	0	0	42727	39376	0	0	0	0	0	0	2020	1905	0	0	0	0	0	0	0	0	0	0	0	0		
222446																								0	0	1923	1846					0	0	0	0	0	0	461	452	0	0	0	0	0	0	0	0	0	0	0	0		
