"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
42420	0	0					13665	492229	862949					10896	0	0			27345	7917	0	88923										0		
42448	0	0					8431	0	150486					93318	0	0			0	123484	0	0										0		
42457	0	0					645	9059	15766					0	0	0			9059	0	0	0										0		
43052	0	1957					2125	0	32551					1000	0	0			0	9086	0	0										0		
43351	0	0					830	0	4081					9302	0	0			0	2163	0	0										0		
43856	0	926					962	2626	12606					12	0	0			2626	2611	0	0										0		
43959	0	2568					235	0	101164					0	0	0			0	45238	0	0										0		
44040	0	0					1393	0	162996					0	0	0			0	54560	0	0										0		
44433	0	0					2615	0	106570					32000	0	0			0	9482	0	0										0		
44741	0	31167					1459	0	153860					0	0	0			0	67079	0	0										151		
44750	0	0					1031	0	31614					0	0	0			0	823	0	0										0		
44929	0	45623					1237	0	53832					0	0	0			0	4458	0	0										0		
45038	0	1647					214	613	78168					0	0	0			613	23859	0	585										117		
45047	0	21442					583	0	48996					0	0	0			0	9444	0	0										0		
45056	0	4259					216	11900	22988					0	0	0			11900	344	0	0										0		
45430	0	0					664	18043	38675					0	0	0			18043	0	0	0										0		
45458	0	2614					2040	0	78375					12499	0	0			0	30475	0	0										0		
45551	0	36761					6115	0	239882					64200	0	0			0	83660	0	0										0		
45560	0	76826					7761	48334	869360					0	0	0			4763	59027	0	0										3580		
45775	0	0					527	0	30667					11522	0	0			0	975	0	0										0		
46053	0	4635					2257	0	106851					0	0	0			0	46224	0	0										69		
46941	0	3863					538	2369	55573					658	0	0			1869	12546	0	0										0		
47247	0	0					6827	1417	37904					48900	260	125			917	17163	0	0										0		
47256	0	0					160	0	0					0	0	0			0	0	0	0										0		
47452	0	16154					36	0	16380					3638	0	0			0	0	0	0										0		
47500	0	0					1206	0	61385					21400	0	0			0	10769	0	0										31161		
48057	0	7271					516	0	40370					0	0	0			0	23393	0	0										0		
48150	0	4812					277	0	8620					466	0	0			0	2162	0	0										9		
48374	0	30472					11224	0	181789					43627	0	0			0	28340	0	1456										254		
48440	0	0					747	225	52996					7000	0	0			225	20567	0	0										0		
49054	0	0					1022	0	40914					13511	0	0			0	1030	0	0										0		
49148	0	0					284	0	63712					3000	0	0			0	13698	0	0										0		
49241	0	0					12167	39024	113573					10057	0	0			9944	40124	0	0										0		
49652	0	922					758	0	60543					13319	0	0			0	38972	0	0										676		
49858	0	982					1052	0	5736					0	0	0			0	2237	0	0										0		
49951	0	0					316	0	22706					0	0	0			0	1042	0	0										0		
50144	0	0					302	62455	0					0	0	0			11451	0	0	0										0		
50461	0	0					0	0	0					0	0	0			0	0	0	0										0		
51253	0	0					2667	0	0					25705	0	0			0	0	0	0										0		
51356	0	0					0	0	27719					0	0	0			0	0	0	0										0		
51459	0	26708					2945	0	190668					8320	0	0			0	37783	0	0										47		
51842	0	6710					204	0	87199					0	0	0			0	35400	0	0										12		
52719	0	0					6402	0	0					0	0	0			0	0	0	0										0		
52951	0	0					1244	0	44189					272	0	0			0	25310	0	0										0		
53051	0	0					5	32924	0					0	0	0			2969	0	0	0										0		
54058	0	0					1995	0	108055					16308	0	0			0	31411	0	0										0		
54656	0	27494					4864	0	879404					30000	0	0			0	695594	0	0										0		
54973	59883	63808					117792	513767	2444267					80000	0	0			0	15165	0	161610										0		
55336	0	39948					2294	0	179566					3015	0	0			0	27539	0	0										0		
55635	0	4734					279	0	9316					2688	0	0			0	0	0	0										0		
55653	0	22690					303	0	50292					0	0	0			0	8485	0	6471										0		
55970	0	129236					738	0	135667					800	0	0			0	0	0	0										0		
