"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLG24	RCONLG25	RIADG377	
139834																																																															0	5	813		0			7237	0		437	28541	0	0	0	9018	0	0	5751	0	292	529	412	7785	0	2723	2736	4825	4791	3680	768				0	0			0	0	373	1391	2127	3605			0			0	0													0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	873	0	0	0	0	0			0	0		0	0	2662	0	CONF	CONF	0	
139843																																																															182	320552	42467	1011	269239	317446	0	317446	42831		9563	1558269	0	30455	0	94365	850	61035	406608	3166	11858	19764	21368	14464	23427	562833	96577	265500	357001	135542	18939	0	182	0	0	166	0		278	217	13926	83784	151024	167098	0	30455	0			150	391	0	0	0	0	0	0	0	0	0	0	0	0		160380				22801	55	0	1067	0	0	0	0	0	0	0	9799	0	0	0	0	6573	9434	0	6644	4450	2194	0	0	3455	9434	CONF	CONF		
139955																																																															0	37944	148		4079			4529	0		0	64733	0	0	4529	11682	146	0	21363	521	775	4309	5688	366	0	9221	11993	12029	14594	2831	1595				0	0			0	0	288	0	2709	1042			0			0	0														26320	0	0	0	0		0	0	0	0	0	0	0	0	0	1282	0	0	0	0	0			0	0	0	0	0	884	0	CONF	CONF		
140157																																																																65823	0		78593			18325	2221		1218	188151	0	218	0	2114	0	1738	73300	76	1004	248	328	144	315	62198	17439	15036	30582	22100	38682				0	42			790	680	0	0	3421	12410			0			0	0														44069	0	0	0	0		0	0	0	0	0	0	0	0	0	1883	0	0	0	0	0			0	0	0	0	0	1883	0	CONF	CONF		
140362																																																															0	337	50993	0	0	624740	0	624740	2105		0	1649487	14053	0	29743	48233	6245	30732	165971	24108	1525	4016	9473	7137	1974	279189	47879	717369	288477	271746	1536	0	0	0	0	1708	0		0	0	9245	60947	328884	494428	0	0	0			0	112	0	0	0	0	0	0	0	0	0	0	0	0	70192	681417				0	1932	0	1932	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	33731	0	CONF	CONF	786	
140634																																																																7087	142		2237			9981	0		0	32258	21	0	0	3851	0	2827	12319	606	1042	401	642	1036	0	4656	9782	3313	4296	4643	136				0	0			0	0	0	0	5653	649			0			0	0														0	0	0	0	0		0	11	0	0	0	0	0	0	0	799	0	0	0	0	0			0	0	0	0	0	1869	0	CONF	CONF		
141211																																																															0	13786	11824		1514			31497	46054		3860	406511	0	0	28118	205410	13382	17844	23515	6493	12153	2071	1632	34800	147308	23306	20575	21570	11959	42549	80381				0	2896			0	0	12012	0	36663	18646			0			256	94													0	280007	0	0	0	2449		0	604	0	0	0	0	0	0	0	3241	0	0	1656	0	0			0	0	0	0	0	5122	537	CONF	CONF	0	
141341																																																																1312	13406		8			28854	1975		4216	138810	0	0	0	36506	749	32644	10045	1814	6365	10279	16990	147	263	10370	13125	41673	25333	4459	724				0	0			0	0	2670	1372	27699	14770			0			111	238														92381	0	0	0	976		0	1011	0	0	0	0	0	0	0	631	0	0	0	0	865			0	0		0	0	3631	0	CONF	CONF		
141350																																																																24462	0		24469			9686	203		156	67064	0	0	125	1863	0	587	21723	587	49	51	31	503	642	49096	2719	4201	5129	2143	1644				0	0			0	0	117	0	0	1347			0			0	0														13347	0	0	0	33		0	75	0	0	0	0	0	0	0	3567	0	0	0	0	0			33	0	0	0	0	1119	0	CONF	CONF		
141556																																																																7374	22644	0	5305	1140769	0	1140769	6214		7	1735905	0	76417	38523	15967	3213	2559	301507	3356	1220	4051	4100	409	2632	238701	406339	450135	533236	15706	3223	0	0	0	0	428	0		17796	9112	1955	312309	82064	58905	0	76417	0			208	83	0	0	0	0	0	0	0	0	0	0	0	0		132170				11868	211	0	211	0	0	0	0	0	0	0	666	0	2	0	3434	0	8078	0	146	146	0	0	0	1457	8078	CONF	CONF		
141677																																																																0	0		0			0	0		0	33242	0	0	0	31898	0	0	28	2	26	203	296	6070	25299	0	0	0	23	490	831				0	0			0	0	731	0	572	41			0			0	0														0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0		0	0	0	0	CONF	CONF		
141958																																																															0	5517	1163		861			9742	83		38	47773	0	0	0	14614	212	14392	12986	407	1066	2338	5732	4907	0	2035	9478	8808	6343	6404	0				0	0			0	0	328	1814	4633	128			0			51	40														0	0	0	0	63		0	214	0	0	0	0	0	0	0	3002	0	0	0	0	0			12	0		12	0	5424	0	CONF	CONF		
142049																																																																18416	94		21006			4280	1221		0	85508	0	0	0	20107	178	6424	22242	704	1347	5973	6064	808	5211	10993	9432	22282	17270	5117	306				215	23			0	0	4607	316	5021	7612			0			0	0														12898	0	0	0	0		0	25	0	0	0	0	0	0	0	1489	0	0	0	0	0			0	0	0	0	0	898	0	CONF	CONF		
142179																																																															0	185	0		0			0	0		0	38371	0	0	0	35795	273	0	289	2	40	394	1158	18933	14696	33	220	542	1077	525	185				0	0			0	0	0	0	191	0			0			263	61														34394	0	0	0	263		0	0	0	0	0	0	0	0	0	1274	0	0	0	0	0			0	0		0	0	653	0	CONF	CONF		
142955																																																																2350	21601		34			151890	807		0	599121	0	0	7503	69532	3436	23736	124204	8553	3632	10873	5275	10407	28014	79731	106001	138678	92251	87593	25317				0	18			0	0	20300	50891	80207	176608			0			0	532													0	85997	0	0	0	7013		0	7633	0	0	0	0	0	0	0	3624	0	23	0	1723	0			0	0	0	0	0	10190	5267	CONF	CONF	0	
143372																																																																17109	91		3129			7503	2278		0	109760	0	0	0	58813	112	11465	4803	3528	5233	3383	1436	14905	30105	1688	5117	7073	8947	9905	18091				0	24			0	0	1277	5807	5254	414			0			66	0													0	59701	0	0	0	66		0	0	0	0	0	0	0	0	0	5104	0	0	0	0	0			0	0		0	0	2845	0	CONF	CONF	0	
143662																																																															279	307177	3385409	0	182344	4822250	1759	4824009	1103714		579546	22545592	0	385814	1405	4094377	23026	2436541	2574204	41161	110777	200207	334368	1703873	1703991	5579070	746034	3725937	2133422	1873620	4362055	0	0	279	0	143218	16509				708795	891102	2075288	3463248	0	385814	0			10931	135	0	0	0	0	0	0	0	0	0	0	0	0	0	12054655				13507	224677	2491	224677	0	0	0	0	0	0	0	109854	244	0	0	2332	0	0	0	0	0	0	0	0	41224	0	CONF	CONF	0	
143859																																																															0	57711	0		73605			44243	1001		0	230366	53	0	0	6602	0	160	94289	328	871	2040	2500	813	50	65420	40602	28286	63494	21528	4487				0	0			0	0	6548	776	0	35460			0			0	0														66837	0	0	0	0		0	647	0	0	0	0	0	0	0	2790	0	0	0	0	0			0	0	0	0	0	1036	0	CONF	CONF		
143952																																																																25216	384		14461			17812	3264		1762	115090	0	0	0	16960	944	0	26407	3876	837	2386	5171	3587	1020	10422	17924	40979	20134	5715	2640				0	46			0	0	1589	1229	8319	20927			0			0	0													0	74825	0	0	0	580		0	0	0	0	0	0	0	0	0	1226	0	0	0	0	465			0	0	0	0	0	951	115	CONF	CONF	0	
144034																																																															0	1924	10744		0			22149	8908		0	243289	692	0	0	54539	889	5556	54532	6454	5848	8123	15876	17107	1131	39489	28151	54040	52325	15343	94				0	0			0	0	8158	18188	25935	90838			0			0	827														182056	0	0	0	1514		0	7	0	0	0	0	0	0	0	143	0	1378	0	0	0			0	0		0	0	1559	136	CONF	CONF		
144052																																																															0	62276	123		35141			46809	3793		0	323826	0	1964	6910	73446	1206	71214	51382	2802	7630	21247	38869	2890	0	24866	31222	61309	75056	39560	18368				0	50			0	0	4897	7041	17725	3083			0			0	0													0	71142	0	0	0	0		0	151	0	0	0	0	0	0	0	53499	0	0	0	0	0			0	0	0	0	0	12622	0	CONF	CONF	0	
144155																																																																679	6087	0	2	75310	0	75310	1717		440	243302	1733	0	0	33753	814	1167	30952	548	3089	3681	14071	11403	962	3035	24688	95947	69692	17498	421	0	0	0	0	46	0		0	0	320	8152	31425	81807	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89111				128	4	0	4	0	0	0	0	0	0	0	320	0	0	0	0	0	128	0	0	0	0	0	0	4159	128	CONF	CONF	0	
144678																																																																0	9764		0			0	10240		0	294496	0	0	0	261297	25	25744	500	109	4084	18213	5483	67748	159774	10200	294	2344	245	12251	6801				672	0			0	0	7682	3051	0	1644			0			5149	765														261297	0	0	0	5589		0	25	0	0	0	0	0	0	0	0	0	0	242	0	198			0	0	0	0	0	96	0	CONF	CONF		
