"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ258	RCOAS540	RCOWH312	
814430																																																																																						1935382	141483	141483	9.8957%	15.8040%	14.6486%	1793899	12246189	18128141	43849	0			7.8040%							516441	18354087								0	0	0		0	1502626	14.6486%	1	0	2062916	124791	80485	20671	41794	1349	-73	0		0	1793899	0	0	1793899	0	0	0	0	0	0	0	0	0	141483	0	225946	0			
814458																																																																																						29433	2257	2257	8.3573%	16.4239%	15.1645%	27176	179208	325175	7347	0			8.4239%							11284	325175								0	0	0		0	15892	15.1645%	1	0	34523	0	0	0	7347	0	0	0		0	27176	0	0	27176	0	0	0	0	0	0	0	0	0	2257	0	0	0			
814476																																																																																						20335	899	899	13.4959%	28.5752%	27.3119%	19436	71163	144014	1159	0			20.5752%							19436	144014								0	0	0		0	0	27.3119%	1	0	20595	0	0	0	1159	0	0	0		0	19436	0	0	19436	0	0	0	0	0	0	0	0	0	899	0	0	0			
814551																																																																																						24357	1866	1866	9.2285%	16.3345%	15.0831%	22491	149114	243713	1843	0			8.3345%							21141	243713								0	0	0		0	1350	15.0831%	1	0	24334	0	0	0	1843	0	0	0		0	22491	0	0	22491	0	0	0	0	0	0	0	0	0	1866	0	0	0			
814711																																																																																						15588	1804	1804	5.6267%	10.8407%	9.5861%	13784	143791	244974	1188	0			2.8407%		0					-10416	244974								0	0	0		0	24200	9.5861%	1	0	14972	0	0	0	1188	0	0	0		0	13784	0	0	13784	0	0	0	0	0	0	0	0	0	1804	0	0	0			
815053																																																																																				180002	0				9.6626%			19552		202347	158	0										16054	202347	0	0.0000%	0	0	60	60	0.0333%	0	0	0	0	1	3550		1	0	19762	0	0	0	210	0	0	0		0	19552	0	0	19552	0	0	0	0	0	0						0	0	21183		
815147																																																																																						28332	2767	2767	8.7437%	12.8081%	11.5573%	25565	221203	292381	0	0			4.8081%							13565	292381								0	0	0		0	12000	11.5573%	1	0	25565	0	0	0	0	0	0	0		0	25565	0	0	25565	0	0	0	0	0	0	0	0	0	2767	0	0	0			
815156																																																																																						80664	7108	7108	7.9620%	14.2174%	12.9646%	73556	567361	923839	6024	0			6.2174%							60091	923874								0	0	0		0	13500	12.9646%	1	0	79615	0	35	0	6024	0	0	0		0	73556	0	0	73556	0	0	0	0	0	0	0	0	0	7108	0	35	0			
815277																																																																																						37084	3088	3088	8.5583%	14.5156%	13.3069%	33996	255476	397228	118	48643			6.5156%							20927	446492								0	0	0		0	13721	13.3069%	1	0	34766	407	214	0	149	0	0	0		0	33996	0	0	33996	0	0	0	0	0	0	0	0	0	3088	0	621	0			
815754																																																																																						12155	1037	1037	7.8973%	13.6230%	12.4608%	11118	89224	140783	37	0			5.6230%							4921	140815								0	0	0		0	6229	12.4608%	1	0	11187	32	0	0	37	0	0	0		0	11118	0	0	11118	0	0	0	0	0	0	0	0	0	1037	0	32	0			
