"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
746157			25	934	42	5686	66	24230	271	8019	56	5382	46	14550			4	130	4	484	2	681	15	555	2	180	0	0	false	false	
746429			92	4099	122	16093	159	57521	573	13583	118	11664	56	18305			35	1661	29	3465	6	1256	15	269	3	299	2	178	false	false	
746755			24	894	31	3300	31	12673	288	6331	54	6546	39	15626			43	1851	40	5031	11	3202	346	7406	54	6469	20	5051	false	false	
746942			15	597	5	695	4	1283	79	1560	14	1545	0	0			52	1737	36	4245	35	9975	220	4791	21	1925	9	2085	false	false	
746979			28	936	16	1856	18	6542	108	1291	8	1063	2	655			0	0	0	0	0	0	2	26	1	179	2	363	false	false	
747051	96	91													61	160													true	true	
747257			25	793	17	2222	8	3545	262	5679	19	1962	14	4556			60	2117	55	6890	15	3533	193	5132	46	5479	11	2771	false	false	
748254			31	856	42	6438	68	26105	524	13378	126	13252	104	33726															false	false	
748357			4	96	11	1641	5	1764	23	621	0	0	3	1285			5	295	7	1069	7	2133	8	120	1	70	0	0	false	false	
748441			26	707	5	860	3	1111	131	4187	19	2073	1	197			7	248	5	663	4	1078	1	2	1	79	0	0	false	false	
748964			12	598	19	2396	19	5636	151	3505	38	3246	29	8997			5	284	5	549	15	3380	15	291	10	851	6	1292	false	false	
749242			989	32662	1496	160680	2205	739883	13651	277793	3109	279829	2465	549430			149	4106	142	13935	50	7223	160	2768	37	1944	12	1427	false	false	
749635			40	1819	69	9598	126	58342	490	12965	85	9589	44	14020			5	227	3	638	2	418	20	511	2	63	0	0	false	false	
749840	6	81															5	213	6	740	3	1073	28	446	1	180	0	0	false	true	
749943	6	394													303	469													true	true	
749952			25	727	7	932	9	3047	62	1329	8	896	23	10802			21	1076	18	2582	6	2136	97	1611	11	759	2	543	false	false	
750051			10	415	18	2661	37	12637	273	8423	52	6943	60	21644			0	0	0	0	1	425	0	0	0	0	0	0	false	false	
750127			27	1035	28	3258	58	20526	188	4951	29	3365	19	4811			4	149	11	1587	3	884	8	224	4	512	0	0	false	false	
750239			2	110	4	326	33	10283	370	10704	79	10151	67	28304															false	false	
750341			30	1337	37	5278	58	25055	165	4661	28	3059	19	4503			1	7	0	0	0	0	5	58	0	0	0	0	false	false	
750444			13	444	4	561	1	174	69	1135	7	746	3	429			4	149	16	1810	10	2729	82	1348	16	1109	4	213	false	false	
750846			13	488	5	658	11	5449	53	1678	19	2389	18	6988			10	312	15	1850	7	2266	77	2459	50	6068	22	5825	false	false	
751254			26	907	20	1438	20	6611	81	1787	19	2483	10	2346			28	975	34	4369	40	4206	94	2917	41	3471	21	3288	false	false	
751656			203	8852	301	39584	294	111841	2214	100035	368	45057	202	70049			180	16523	148	16668	140	54396	804	67570	89	9886	29	13198	false	false	
751852			25	856	17	1934	48	20187	146	2772	22	1433	48	15522			1	44	1	215	1	354	0	0	0	0	0	0	false	false	
752644			89	2718	46	6238	65	25111	452	7272	42	3670	23	7682			16	547	12	1453	4	959	11	133	1	205	1	151	false	false	
752831			77	3200	32	4527	13	4618	384	7500	31	4388	17	5084			50	3058	41	5442	19	5830	75	1536	9	974	3	493	false	false	
753052	33	77															55	2423	18	2579	5	1532	183	3241	12	1232	1	337	false	true	
753324			30	1205	91	11358	231	92059	839	24069	206	26028	141	48522			1	19	4	532	5	1688	5	127	0	0	1	223	false	false	
753641	58	32													15	4													true	true	
753856			1	57	2	179	3	840	51	841	6	508	1	295			1	45	1	146	0	0	73	1681	11	893	3	389	false	false	
754068			0	0	1	11	29	15336	272	7939	90	12248	65	24077															false	false	
754246			8	265	5	652	1	285	144	3000	13	1692	1	241			17	848	22	3802	17	6020	141	3584	39	3918	21	5963	false	false	
754536			71	1886	22	2459	23	8392	236	3411	8	937	5	2013	54	59													true	false	
754826			132	4865	166	19974	119	42826	830	17346	122	13235	46	13125			9	359	18	2348	11	2205	174	2311	12	1340	5	1469	false	false	
754853			27	1322	28	3726	34	11504	519	14290	77	9424	53	18092			38	1958	49	7053	24	8224	131	3209	32	3049	19	4405	false	false	
754929			155	6280	137	17149	182	62487	390	9115	59	6237	20	6548			2	71	1	133	1	305	32	770	3	61	1	405	false	false	
755047			14	600	69	7805	127	49290	381	11045	90	10189	76	22852			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
755252			50	1935	40	4870	34	13229	414	8986	66	8057	41	14199			26	1208	12	1483	8	1691	72	1617	16	1062	17	1520	false	false	
755421			19	458	7	669	1	104	151	2101	6	436	1	341			42	1269	18	1995	3	787	142	1114	6	50	4	350	false	false	
755458			16	636	20	2541	18	6884	196	4180	24	2648	16	5921			19	729	36	4746	26	6857	66	1624	38	3684	16	4014	false	false	
756343			20	1051	10	1346	17	5777	434	12958	82	10000	55	13983			5	384	23	2916	21	4375	159	4337	23	2707	25	3624	false	false	
756848			54	1830	29	3516	18	5880	280	6218	45	4905	25	7299			85	3484	80	9747	28	7888	367	7136	54	5374	24	5289	false	false	
757377			0	0	7	724	8	2460	0	0	0	0	0	0															false	false	
757452			39	1299	29	3050	25	6132	167	3471	17	1633	2	320			48	2051	73	9204	26	6556	49	933	14	1395	8	1067	false	false	
757612			95	3576	130	15966	150	56307	919	32796	397	55418	255	100705			20	883	23	2778	16	3498	26	488	8	754	3	632	false	false	
757779			211	8255	59	7411	44	16293	297	6077	37	2787	12	2251			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
758703			10	847	26	3627	89	43392	1195	24653	263	29493	324	121585															false	false	
758842			10	448	10	1308	16	4863	50	1126	8	998	7	2064			8	310	13	2026	19	5292	31	831	14	1523	7	1766	false	false	
758851			23	792	19	1808	21	7997	2999	114729	752	108575	336	143273			0	0	1	177	0	0	0	0	0	0	0	0	false	false	
759045			7	258	20	3477	69	33900	285	7641	47	6622	30	9459															false	false	
759625			43	1909	66	8406	127	47429	563	13442	113	13375	42	13895			7	237	18	2028	12	2852	18	218	3	403	3	593	false	false	
760210			85	2888	24	2673	15	4826	106	2146	15	1650	9	2880			9	415	8	916	2	657	7	141	0	0	0	0	false	false	
760331			26	964	53	6300	64	21746	223	6663	32	4828	4	1386			1	0	0	0	1	339	1	21	1	0	0	0	false	false	
760340			75	3298	43	5706	35	17496	98	2351	25	2756	13	5486			5	277	16	2132	24	9955	42	1091	18	2123	9	3468	false	false	
760434			48	1863	27	3421	21	7647	252	5545	34	3348	13	2946			30	1292	29	4026	23	5288	73	926	19	1809	16	3736	false	false	
760649			19	560	4	645	4	661	170	2927	12	1528	13	1219			15	653	19	2616	21	6092	170	3774	29	6546	25	5889	false	false	
760854			120	4224	125	14764	96	31641	2176	15833	124	12350	50	13939			115	5527	98	11878	29	7003	212	4554	23	2276	9	2180	false	false	
760939			17	660	19	2132	12	3287	76	1794	14	1481	1	327			2	133	4	36	1	435	1	14	0	0	0	0	false	false	
760957			12	902	27	3649	18	5906	181	4648	24	2956	8	2524			0	0	2	258	0	0	3	96	0	0	0	0	false	false	
761244			40	1505	33	3729	62	23797	223	5446	48	5064	35	10267			31	1394	26	3937	9	2300	140	2856	12	1214	3	571	false	false	
