"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDJF76	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONJF76	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL58	RCONLL59	RCONLL60	RCONLL61	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
783161																																		1242	0	5000	0	1242	11453	true	0	0	0	0	0	4834	4	1242	true	0	81	5000	0	0	0	0	81	365	1237	4770	0	6453	true	false			0	0																	0	0			906	156826	0	0	0	0	0	0	true	false	false	false		1	32	457	0																	www.thatsmybank.com	
783246																																		144	250	1664	0	0	23946	true	250	0	0	0	0	0	0	0	true	0	0	1664	10121	5083	7078	15696	0	0	0	0	0	0	true	false				144																	0	0			265	14719	0	0	0	0	0	0	true	false	false	false							Marengo Bank facility of Grinnell State Bank															www.grinnell.bank	
783349																																		0	276	0	0	0	0	false	0	0	63	0	213	101	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	false	false	false	false																							
783648																																		5876	12467	0	0	5876	260000	true	5807	0	0	0	6660	113410	7	6327	true	0	0	0	0	30000	230000	0	0	0	0	0	0	0	true	true	0	0	10800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			1873	224911	0	0	0	0	0	0	true	false	false	false		1	174	1457	0																	www.centier.com	
783844																																		2523	0	4000	0	2523	4000	true	0	0	0	0	0	7606	3	2567	true	0	0	4000	0	0	0	0	0	0	0	0	0	0	false	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			474	31397	0	0	0	0	0	0	true	false	false	false		1	115	3210	0																	http://www.citizenbank.com	
783910																																		1444	159	58	617	563	36682	true	0	0	0	0	159	4453	2	563	false	0	0	58	1072	5000	0	0	0	29976	576	0	0	30552	true	true			0	264																	0	0			306	32375	30552	39234	0	0	30552	0	false	false	false	false						www.nvboh.com																www.nvboh.bank	
784159																																		3013	115	2000	2809	0	2000	true	0	0	115	0	0	1094	0	0	false	0	0	2000	0	0	0	0	0	0	0	0	0	0	true	false			0	204																	0	0			127	7906	0	0	0	0	0	0	true	true	false	false																						www.peoplescommunitybank.com	
784430																																		2895	5	0	2895	0	0	true	0	0	5	0	0	1097	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			40	962	0	0	0	0	0	0	true	false	false	false																						http://www.merchantsandcitizensbank.com	
785147																																		3216	273	0	2619	0	11741	true	0	0	170	0	103	3729	2	0	true	0	0	0	0	0	10000	0	0	102	0	1639	0	0	false	false			0	597																	0	0			264	23051	0	0	0	0	0	0	true	false	false	false																						www.fnbky.com	
785473																																		46017	2043	90092	9848	33920	512864	true	2043	0	0	0	0	3373	1	34433	true	0	0	90092	10000	60000	180000	250000	0	172772	0	0	0	172772	true	false			77	2249																	0	0			641	178499	172772	173701	0	0	172772	0	true	false	false	false																						www.fsbbank.net	
785857																																		0	858	0	0	0	40	true	0	0	133	0	725	803	0	0	false	0	0	0	0	0	40	0	0	0	0	0	0	0	false	false			0	0																	0	0			86	6910	0	0	0	0	0	0	true	false	false	false																						www.jpstonecb.com	
785923																																		62674	0	12000	59221	976	22000	true	0	0	0	0	0	3569	1	993	true	0	0	12000	10000	0	0	0	0	0	0	0	0	0	true	true			1360	2477																	0	0			198	21088	0	0	0	0	0	0	true	false	false	false						www.lcnb.mobi		www.lcnb.org		www.lcnbcorp.com		www.enb.com		www.lcnbyourhometownlender.com		www.cnbweb.net		www.cnbweb.org	www.cnbweb.viz	www.eatonnational.com	www.vnbweb.bz	www.lcnb.com	
785932																																		0	397	0	0	0	0	true	397	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false			0	0																	0	0			125	7845	0	0	0	0	0	0	true	false	false	false																						www.cnb-usa.com	
785950																																		1778	6653	0	0	0	45000	true	282	0	0	0	6371	11149	2	0	true	0	0	5000	25000	10000	5000	0	0	0	0	0	0	0	true	false				1778																	0	0			488	31476	0	0	0	0	0	0	true	true	false	false						www.legacy-bank.com		www.legacy-bank.mobi		www.fnbpratt.com												www.legacy.bank	
786210																																		0	255	7000	0	0	37014	true	0	0	0	0	255	31595	3	0	false	0	237	7000	5650	8169	15958	0	237	0	0	0	0	0	true	false			0	0																	0	0			986	127014	0	0	0	0	0	0	true	false	false	false																						www.traditionalbank.com	
786256																																		0	0	0	0	0	0	true	0	0	0	0	0	48	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			10	531	0	0	0	0	0	0	true	false	false	false																						http://www.gostatebank.com	
786340																																		74	119	0	74	0	739	true	0	0	119	0	0	127	0	0	false	0	0	0	0	0	739	0	0	0	0	0	0	0	false	false				0																	0	0			343	12186	0	0	0	0	0	0	true	false	false	false		0	50	486	0																	www.fanb.bank	
786555																																		1467	83	3000	1395	0	12781	true	83	0	0	0	0	710	0	0	false	0	1	3000	4000	5000	500	0	1	22	63	195	0	0	true	false				72																	0	0			130	8055	0	0	0	0	0	0	false	false	false	false																						www.peoplesstatebank.com	
786612																																		67200	134	0	62840	47	200732	true	0	0	57	77	0	30182	7	47	true	0	0	0	70000	0	1648	0	0	125617	0	3467	0	129084	true	false	0	0	550	4313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			2635	396059	125617	166284	0	0	125617	0	true	false	false	false		1	855	25224	0	www.sbtbank.com	Scottdale Bank & Trust, A Division of Mid Penn Bank	www.fpbk.com	First Priority Bank, A Division of Mid Penn Bank													www.midpennbank.com	
786733																																		0	346	0	0	0	0	true	0	0	346	0	0	4882	3	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			322	14347	0	0	0	0	0	0	true	false	false	false																						http://www.jsb.bank	
786948																																		0	0	0	0	0	0	true	0	0	0	0	0	157	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true			0	0																	0	0			47	1936	0	0	0	0	0	0	false	false	false	false																						www.firstbankhampton.com	
787141																																		1078	0	500	1078	0	1000	true	0	0	0	0	0	0	0	0	false	0	0	500	500	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			8	184	0	0	0	0	0	0	false	false	false	false																						www.esbanks.com	
787459																																		0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			40	2081	0	0	0	0	0	0	false	false	false	false																						www.prinsbank.com	
787842																																		665	0	0	665	0	822	true	0	0	0	0	0	0	0	0	false	0	0	0	0	822	0	0	0	0	0	0	0	0	true	false				0																	0	0			35	3714	0	0	0	0	0	0	true	false	false	false																						http://www.firstiowastatebank.com	
788559																																		118	66	2500	100	0	5000	true	0	0	66	0	0	538	0	0	false	0	0	2500	2500	0	0	0	0	0	0	0	0	0	true	true				18																	0	0			62	2240	0	0	0	0	0	0	true	true	false	false																						http://www.farmersanddrovers.com	
788652																																		0	0	500	0	0	7500	true	0	0	0	0	0	201	0	0	false	0	0	500	5000	2000	0	0	0	0	0	0	0	0	true	false				0																	0	0			69	2013	0	0	0	0	0	0	true	true	false	false																						http://www.woodland.bank	
788773																																		7196	0	0	4206	2990	7477	true	0	0	0	0	0	0	0	2990	false	0	26	0	3250	3615	518	2933	26	49	19	0	0	94	true	false				0																	0	0			262	27784	0	0	0	0	0	0	true	false	false	false																						www.htbmn.com	
789051																																		0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false			0	0																	0	0			12	90	0	0	0	0	0	0	false	false	false	false																						http://www.nvalleybank.com	
790150																																		0	110	0	0	0	0	true	0	0	60	0	50	700	3	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false			0	0																	0	0			0	0	0	0	0	0	0	0	true	false	false	false																						www.bankofiberia.com	
790271																																		1318	60	4000	669	487	8000	true	0	0	60	0	0	5070	3	487	false	0	0	4000	4000	0	0	0	0	0	0	0	0	0	true	false	0	0		162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			110	8048	0	0	0	0	0	0	true	false	false	false																						www.washingtonsavings.net	
790543																																		13194	20	0	9888	0	0	true	0	0	20	0	0	11714	3	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true			548	3306																	0	0			242	25228	0	0	0	0	0	0	false	false	false	false						https://webcap03.fiservmw.net/WebCaptureWeb/MerchantCapture.do?appId=EBI1450&FID=073910114		https://web15.secureinternetbank.com/EBC_EBC1961/EBC1961.ashx?WCI=Process&STU=141165f314bf4da5827d65cceed0f0cc&WCE=Passmark		https://web15.secureinternetbank.com/pbi_pbi1961/pbi1961.ashx?Rt=073910114&LogOnBy=connect3&PRMACCESS=Account												www.bankcsb.com	
790703																																		1544	0	0	0	1544	12482	true	0	0	0	0	0	394	0	1544	false	0	0	5000	2912	1500	3070	5000	0	0	0	0	0	0	false	false			0	0																	0	0			349	13304	0	0	0	0	0	0	true	false	false	false		1	111	1166	0	www.CheckingFinder.com		www.Kasasa.com														www.leebank.com	
790918																																		19395	28	10000	19133	262	45084	true	28	0	0	0	0	18960	3	262	true	0	0	10000	13000	20000	2000	0	0	26	0	58	0	84	true	true				0																	0	0			441	22976	0	0	0	0	0	0	true	false	false	false						http://www.fkc.bank																http://www.fkc.bank	
791072																																		395	0	0	395	0	1417	true	0	0	0	0	0	5289	3	0	false	0	22	0	0	1395	0	0	22	0	0	0	0	0	false	false				0																	0	0			60	5753	0	0	0	0	0	0	false	false	false	false																						www.isbtexas.bank	
791353																																		0	47	0	0	0	0	true	0	47	0	0	0	1682	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			196	10457	0	0	0	0	0	0	true	false	false	false																						www.bankwestmn.com	
791821																																		0	0	0	0	0	20794	true	0	0	0	0	0	1202	1	0	true	0	0	0	0	0	0	0	0	20794	0	0	0	20794	false	false			0	0																	0	0			324	50777	20794	22406	0	0	20794	0	false	false	false	false						www.movetoncb.com		www.nationalcapitalbankinvestments.com		www.ncbmobile.com		www.ncbwash.com		www.cbbwash1.com								www.nationalcapitalbank.com	
791942																																		0	0	0	0	0	0	true	0	0	0	0	0	1494	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			27	619	0	0	0	0	0	0	false	false	false	false																						www.npesb.bank	
792248																																		0	7	2000	0	0	7076	true	0	0	0	0	7	351	0	0	false	0	0	2000	2000	500	2576	0	0	0	0	0	0	0	true	true				0																	0	0			49	1009	0	0	0	0	0	0	true	false	false	false																						www.ftsbbancroft.com	
792453																																		0	0	0	0	0	1500	true	0	0	0	0	0	0	0	0	false	0	0	0	0	500	1000	0	0	0	0	0	0	0	false	false			90	0																	0	0			11	1393	0	0	0	0	0	0	false	false	false	false																						www.statebankofdowns.com	
792640																																		0	0	0	0	0	0	true	0	0	0	0	0	511	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			152	2259	0	0	0	0	0	0	true	false	false	false																						http://www.yourfullservicebank.com	
