"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	
324863			19524	2935	467	0	16741	619	0			0	0																
324975			366	263	270	0	322	489	0																				
325141			1430	120	15	0	1476	181	0			0	0																
325459			459	0	6	0	467	14	0																				
325534			2250	1086	54	0	1475	365	0																				
326054			2899	920	7	0	2020	48	0																				
326344			4226	1250	20	0	3541	585	0																				
326858			19880	0	689	0	19516	325	0																				
326979			4414	2094	0	0	3968	1648	0																				
327220			694	10	7	0	683	6	0																				
327305			7454	1260	51	0	6293	150	0				0																
327435			9094	2218	51	0	6878	53	0																				
327556			1790	208	25	0	1877	320	0																				
327855			8581	0	279	0	8342	40	0																				
328058			443	35	0	0	455	47	0			0	0																
328357			1694	406	12	0	1298	22	0				0																
328656			2574	150	5	0	2435	16	0																				
328777			16709	3097	418	0	13756	562	0				0																
329149			1537	278	42	0	1385	168	0																				
329345			5160	1550	73	0	4312	775	0																				
329550			3047	318	62	0	2964	297	0																				
329952			4741	750	180	0	3991	180	0				0																
330239			1663	233	84	0	1614	268	0																				
330248			963	132	60	0	775	4	0																				
330855			22114	10333	278	0	13939	2427	-9				0																
330873			1671	75	1	0	1602	7	0			0	0																
330949			1340	200	19	0	1229	108	0																				
331076			2811	520	27	0	2264	0	0																				
331375			1977	460	52	0	1919	454	0																				
331544			588	105	15	0	487	19	0																				
331713			5425	700	10	0	4725	10	0																				
332224			2673	700	171	0	1960	158	0																				
332345			180	13	0	0	167	0	0																				
332402			6784	2552	22	0	4280	70	0																				
332671			2390	638	15	0	1737	0	0																				
332756			293	0	10	0	283	0	0																				
333034			5975	0	681	0	5731	437	0																				
333203			8271	2200	29	0	6122	80	0			0	0																
333650			5289	0	6	0	5357	74	0																				
333856			2429	950	39	0	1732	292	0			0	0																
333940			187	0	5	0	182	0	0			0	0																
334264			3977	200	68	0	3949	240	0																				
334648			2	0	0	0	1662	0	-1660																				
334657			741	0	0	0	741	0	0			0	0																
335346			3389	1620	21	0	1789	41	0																				
335355			1284	150	6	0	1145	17	0				0																
336147			943	10	23	0	922	12	0																				
336361			918	90	0	0	860	32	0																				
336576			1404	185	0	0	1263	44	0																				
336950			498	202	0	0	333	29	-8																				
337247			340	45	0	0	299	4	0																				
337340			903	123	2	0	779	1	0																				
338646			3275	644	40	0	2660	69	0																				
338851			318	0	8	0	312	2	0			0	0																
338945			475	0	268	0	475	268	0																				
339072			5526	945	141	0	5319	879	0				0																
339353			539	27	0	0	514	2	0																				
339456			5571	1500	130	0	4399	458	0			0	0																
339607			4956	500	435	0	4600	579	0																				
339773			19845	6900	66	0	15162	2283	0			0	0																
