"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RIADG377	
2973041																																																															0	0	0		0			0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0			0	0	0	0	0	0			0			0	0														0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0		0	0	0	0	0	CONF	CONF		
2973386																																																																0	0		0			0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0			0	0	0	0	0	0			0			0	0														0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0		0	0	0	0	0	CONF	CONF		
2980209																																																															0	0	2000	0	0	157000	0	157000	0		0	22160000	0	0	0	0	0	0	15000	0	0	0	0	0	0	19701000	1334000	1079000	8000	12000	1000	0	0	0	21908000	0	0	251000	1000	1000	0	0	0	2000	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21292000				213000	0	0	0	0	0	0	0	0	0	211000	0	0	0	0	0	0	1000	0	212000	0	0	0	1000	91000	1000	0	CONF	CONF	0	
2986407																																																																257	30820	18410	0	498060	0	498060	20362		0	1429765	0	0	0	317260	5590	30936	53882	6825	2477	4475	5862	59083	237192	175480	38621	146866	388720	288172	72373	0	0	0	0	11456	0		0	0	15809	13737	180240	136509	0	0	0			172	209	0	0	0	0	0	0	0	0	0	0	0	0		409106				705	2805	0	21215	0	0	0	0	0	0	0	146514	0	0	0	0	0	0	0	533	0	0	0	512	31936	0	1512	CONF	CONF		
2989006																																																															0	14798	37136		913			39870	1570		0	326245	115	0	0	65490	1015	5159	65766	4938	7121	24048	19242	9523	0	37240	27751	94114	34030	61934	1188				0	143			0	0	2228	21522	61702	74557			0			0	0														0	0	0	0	738		0	28	0	0	0	0	0	0	0	2046	0	0	0	738	0			0	0	0	0	0	3342	0	58	CONF	CONF		
2992547																																																																0	0		2078582			141846	0		6629	2778203	0	0	0	0	0	0	1436102	0	0	0	0	0	0	1452363	0	1318708	0	0	0				551146	0		1872			0	0	0	0			0			0	0														0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	CONF	CONF		
2997216																																																															0	4024	12251		1557			33973	12205		10359	214058	0	0	0	1823	103	1103	24850	0	189	0	0	1634	0	33427	7636	22129	37054	98627	10979				0	99			0	0	3034	5628	41849	86711			0			0	0														206226	0	0	0	282		0	7	0	0	0	0	0	0	0	39	0	0	0	0	0			22	0		0	0	396	260	1231	CONF	CONF		
2997748																																																																0	1989		0			5888	339		0	25443	102	0	0	4163	0	0	17242	166	98	20	40	1315	2457	9397	7680	416	3872	18	0				0	98			0	0	2139	7144	0	2501			0			40	0														25443	0	0	0	40		0	1156	0	0	0	0	0	0	0	3	0	0	0	0	0			0	0	0	0	0	125	0	0	CONF	CONF		
2998576																																																															0	114	0		3			928267	2081		0	1509961	12735	0	0	837	1072	41	227619	0	5	64	0	639	0	543686	771642	21598	145120	24337	3549				0	0			672	582	259	30378	501421	33960			0			129	129														718727	0	0	0	2211		0	249	0	0	0	0	0	0	0	0	0	0	0	2082	0			0	0	0	0	0	24055	0	0	CONF	CONF		
3005097																																																															0	5429	363		5308			3712	323		0	40456	0	0	0	10083	862	6018	17389	283	1140	205	69	1184	7107	12236	5398	3577	2060	4933	2169				0	0			0	0	5826	1302	3704	2122			0			0	0														0	0	0	0	0		0	167	0	0	0	0	0	0	0	481	0	0	0	0	0			0	0	0	0	0	774	0	0	CONF	CONF		
