"IDRSSD"	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
2239288	516339	1334446	784414	3747098	0	483200	6865497	7139	25896	7212	32216	0	2530	0	74993	18	0	0	0	18	
2253891																					
2262718																					
2265456	0	0	89010	889	0	0	89899	0	0	1720	5	0	0	0	1725	0	0	0	0	0	
2297998																					
2298995	37910	253680	135059	1016459	0	337635	1780743	603	5186	1581	5776	0	218	0	13364	3	0	0	0	3	
2304636																					
2305969																					
2316714																					
2317672																					
2325882																					
2328137																					
2328285																					
2329200																					
2332910																					
2333140																					
2337335																					
2339599																					
2339795	50438	348440	245460	687096	0	276299	1607733	455	4266	2512	3784	0	92	0	11109	5	0	0	0	5	
2339900	39822	329423	107007	358636	435	13850	849173	720	3764	1701	2731	6	219	0	9141	3	0	0	0	3	
2343167																					
2344753																					
2349459																					
2353595	81718	711246	1057469	181232	5159	116907	2153731	1485	10653	14671	1950	144	2954	0	31857	0	0	0	0	0	
2354323																					
2354387																					
2354985	179198	3357780	289551	8665711	698	1584261	14077199	2641	16854	4039	8038	14	93850	0	125436	0	0	0	0	0	
2356091																					
2358769																					
2362458																					
2371816																					
2372774	243459	1176579	542888	432932	1180	32731	2429769	9923	12320	8578	2878	15	171	0	33885	0	0	0	0	0	
2385514	341666	1398379	751302	505069	1876	38440	3036732	4296	14909	7726	5112	0	414	0	32457	0	0	0	0	0	
2390929																					
2391588																					
2396592																					
2396604																					
2398701																					
2434113	60160	1136408	400804	675692	0	818	2273882	2777	18764	1303	10056	0	5	0	32905	0	0	0	0	0	
2451240																					
2465881																					
2467670																					
2471239	55732	998683	23142	443187	0	397	1521141	727	21309	210	7831	0	3	724	30804						
2482824																					
2483120																					
2483438																					
2489805																					
2490285																					
2497181	219321	411145	199433	156472	0	11185	997556	3283	6608	2933	2246	0	238	1187	16495						
2502656																					
2502825																					
