"IDRSSD"	RCONG354	RCONG355	RCONG356	RCONG357	RCONG358	RCONG359	RCONG360	RCONG361	RCONG362	RCONG363	RCONG364	RCONG365	RCONG366	RCONG367	RCONG368	RCONG369	RCONG370	RCONG371	RCONG372	RCONG373	RCONG374	RCONG375	RCONHT50	RCONHT51	RCONHT52	RCONHT53	RCONHT54	RCONHT55	RCONHT56	RCONHT57	RCONHT58	RCONHT59	RCONHT60	RCONHT61	RCONK142	RCONK143	RCONK144	RCONK145	RCONK146	RCONK147	RCONK148	RCONK149	RCONK150	RCONK151	RCONK152	RCONK153	RCONK154	RCONK155	RCONK156	RCONK157	
	SFP TPS ISS RE INV TR AFS AMRTZ COST	SFP TPS ISS RE INV TR AFS FV	SFP CORP & SIMILAR LN HTM AMRTZ COST	SFP CORP & SIMILAR LN HTM FV	SFP CORP & SIMILAR LN AFS AMRTZ COST	SFP CORP & SIMILAR LN AFS FV	SFP 1T4 RES MBS I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS I OR G GSE HTM FV	SFP 1T4 RES MBS I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS I OR G GSE AFS FV	SFP 1T4 MBS N I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS N I OR G GSE HTM FV	SFP 1T4 MBS N I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS N I OR G GSE AFS FV	SFP DVRS (MIXED) POOLS SFP HTM AMRTZ	SFP DVRS (MIXED) POOLS SFP HTM FV	SFP DVRS (MIXED) POOLS SFP AFS AMRTZ	SFP DVRS (MIXED) POOLS SFP AFS FV	SFP OTHR CLTRL REF ASSET HTM AMRTZ	SFP OTHR CLTRL REF ASSET HTM FV	SFP OTHR CLTRL REF ASSET AFS AMRTZ	SFP OTHR CLTRL REF ASSET AFS FV	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ	MBS CMRL PT SCTY GUAR FNMA HTM FV	MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ	MBS CMRL PT SCTY GUAR FNMA AFS FV	MBS CMRL PT SCTY OTHR HTM AMTRZ	MBS CMRL PT SCTY OTHR HTM FV	MBS CMRL PT SCTY OTHR AFS AMTRZ	MBS CMRL PT SCTY OTHR AFS FV	MBS CMRL OTHR CMRL GUAR FNMA HTM AMT	MBS CMRL OTHR CMRL GUAR FNMA HTM FV	MBS CMRL OTHR CMRL GUAR FNMA AFS AMT	MBS CMRL OTHR CMRL GUAR FNMA AFS FV	MBS CMRL OTHR CMRL OTHR CMRL HTM AMT	MBS CMRL OTHR CMRL OTHR CMRL HTM FV	MBS CMRL OTHR CMRL OTHR CMRL AFS AMT	MBS CMRL OTHR CMRL OTHR CMRL AFS FV	
204237																							0	0	6500	6442	0	0	174	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
204826																							0	0	24114	24264	0	0	22918	23316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
205243																							0	0	19403	19970	0	0	7115	7236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
205346																							0	0	0	0	0	0	5903	5910	0	0	0	0	0	0	1260	1316	0	0	0	0	0	0	0	0	0	0	0	0	
205458																							0	0	294	290	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
205542																							0	0	35488	35541	0	0	2707	2772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
206156																							0	0	0	0	0	0	7563	7697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
206174																							0	0	6213	6077	0	0	43625	44202	0	0	0	0	0	0	59	60	0	0	0	0	0	0	0	0	0	0	0	0	
206473																							0	0	0	0	0	0	6783	6747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
206772																							0	0	1688	1674	0	0	8586	8448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1003	1006	
206950																							0	0	530	515	0	0	1008	1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	946	943	0	0	0	0	
207041																							0	0	1252	1265	0	0	7240	7375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
207050																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	1909	1989	0	0	0	0	0	0	1154	1163	0	0	0	0	
207452																							0	0	6612	6696	0	0	4349	4520	0	0	0	0	0	0	490	494	0	0	0	0	0	0	8146	8171	0	0	0	0	
207470																							0	0	0	0	62631	62989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
207555																							0	0	3997	3995	0	0	7188	7303	0	0	0	0	0	0	498	504	0	0	0	0	0	0	0	0	0	0	0	0	
207845																							0	0	235910	233675	0	0	4569	4734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8286	8378	0	0	0	0	
207872																							0	0	0	0	3256	3334	25203	24968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1866	1878	0	0	0	0	
207957																							0	0	1800	1770	0	0	4721	4726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
208057																							0	0	164052	163705					0	0	0	0	0	0	0	0	0	0	0	0	0	0	17354	17685	0	0	0	0	
208244																																																			
208347																							0	0	1199	1175					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
208440																							0	0	2288	2338	0	0	8926	8935	0	0	0	0	0	0	1463	1479	0	0	0	0	0	0	0	0	0	0	0	0	
208459																							0	0	2992	2979	0	0	169	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
208570																							0	0	0	0	2822	2883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
208655																							0	0	2540	2684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
208972																							0	0	344	350	0	0	18598	18420	0	0	0	0	0	0	1448	1439	0	0	0	0	0	0	2623	2619	0	0	0	0	
209148																							0	0	25929	25816					0	0	0	0	0	0	3194	3264	0	0	0	0	0	0	0	0	0	0	0	0	
209362																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
209559																							0	0	25822	25923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
209858																							0	0	0	0	0	0	52676	52271	0	0	0	0	0	0	20179	20361	0	0	0	0	0	0	2498	2676	0	0	0	0	
210238																							0	0	27272	27535	1214	1253	43982	44484	0	0	0	0	2880	2967	10468	11116	0	0	0	0	976	968	2287	2308	0	0	0	0	
210256																							0	0	29913	30127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
210434																																																			
210779																							0	0	9023	9014	0	0	4015	3890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
211114																							0	0	1946	1979					0	0	0	0	0	0	73	80	0	0	0	0	0	0	1319	1342	0	0	8473	8663	
211271																							0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
211338																							0	0	501	508	0	0	2	2	0	0	0	0	0	0	6816	7141	0	0	0	0	0	0	3411	3385	0	0	0	0	
211851																							0	0	1861	1980	0	0	4735	4919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
212018																							0	0	47821	48826					0	0	0	0	0	0	6988	7515	0	0	0	0	0	0	3383	3458	0	0	0	0	
212335																							0	0	7331	7790					0	0	0	0	0	0	6332	6420	0	0	0	0	0	0	13788	14034	0	0	0	0	
212344																							0	0	3737	3703	0	0	12435	12620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	407	0	0	0	0	
212465																																																			
212522																							0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
212577																							0	0	19327	19429					0	0	0	0	0	0	3652	3767	0	0	0	0	0	0	12817	13198	0	0	0	0	
213471																							9423	10558	0	0	2269	2640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
213538																							0	0	5792	5759	0	0	8001	8027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
213912																							0	0	19000	18636					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
213958																							0	0	3302	3240					0	0	0	0	0	0	575	575	0	0	0	0	0	0	0	0	0	0	0	0	
214106																							0	0	13079	12903					0	0	0	0	100330	104953	119359	119407	0	0	0	0	0	0	0	0	0	0	0	0	
214414																							0	0	151203	150604					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
214722																							0	0	3076	3083					0	0	0	0	0	0	0	0	0	0	0	0	0	0	11049	11714	0	0	17791	17781	
